type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,10933544,0,84,0,0,11.525289,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 4 -15 3 -16 3 -17 3 -17 2 -16 1 -16 1 -16 1 -17 0 -17 0 -17 -1 -18 -1 -17 -1 -17 -2 -16 -2 -17 -2 -16 -2 -16 -2 -15 -2 -16 -2 -15 -2 -16 -2 -15 -3 -15 -2 -16 -2 -15 -1 0 0 -15 -1 -15 -1 -15 0 -15 0 -14 -1 -15 0 -16 0 -15 1 -15 1 -15 2 -15 2 -15 1 -15 2 -15 3 -15 2 -15 3 -16 3 -15 4 -15 4 -15 5 -16 4 -16 4 -17 4 -16 5 -17 4 -16 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,10939470,0,84,0,0,11.567213,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -2 14 -3 13 -3 14 -4 15 -4 15 -4 13 -4 13 -4 13 -5 12 -6 13 -6 13 -7 13 -6 13 -7 13 -6 12 -6 13 -6 12 -6 12 -6 12 -6 12 -6 12 -6 12 -6 11 -6 11 -7 13 -5 11 0 0 -5 12 -5 12 -4 12 -4 12 -4 12 -3 12 -3 13 -2 12 -3 12 -2 12 -2 12 -2 13 -2 13 -1 13 -2 13 0 13 -1 15 0 13 1 14 1 13 1 14 0 14 1 15 1 15 0 15 1 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,3,1,1,1,1,0,0,0,-93,2,8,1,10969442,0,84,0,0,11.606646,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 1 -16 2 -17 1 -18 0 -18 0 -16 -1 -17 -1 -17 -1 -17 -2 -17 -2 -17 -3 -17 -3 -17 -4 -17 -4 -16 -4 -17 -4 -16 -4 -15 -4 -15 -4 -15 -4 -16 -4 -16 -4 -15 -5 -15 -4 -16 -4 -15 -3 0 0 -15 -3 -16 -2 -15 -2 -16 -2 -15 -2 -15 -1 -16 -2 -15 -1 -16 -1 -15 1 -15 0 -15 0 -16 0 -15 1 -16 0 -16 1 -18 1 -15 2 -16 2 -16 3 -17 2 -17 2 -17 3 -17 3 -18 2 -17 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,3,1,1,1,1,0,0,0,-93,2,8,1,10969442,0,84,0,0,11.649464,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 1 -16 2 -17 1 -18 0 -18 0 -16 -1 -17 -1 -17 -1 -17 -2 -17 -2 -17 -3 -17 -3 -17 -4 -17 -4 -16 -4 -17 -4 -16 -4 -15 -4 -15 -4 -15 -4 -16 -4 -16 -4 -15 -5 -15 -4 -16 -4 -15 -3 0 0 -15 -3 -16 -2 -15 -2 -16 -2 -15 -2 -15 -1 -16 -2 -15 -1 -16 -1 -15 1 -15 0 -15 0 -16 0 -15 1 -16 0 -16 1 -18 1 -15 2 -16 2 -16 3 -17 2 -17 2 -17 3 -17 3 -18 2 -17 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-56,11,1,2,1,1,1,0,0,0,0,-93,0,8,1,11091133,0,84,0,0,11.692465,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 8 -13 8 -14 8 -16 8 -15 7 -15 5 -15 6 -14 6 -15 5 -16 5 -17 5 -17 5 -16 4 -17 3 -16 3 -17 4 -15 4 -15 3 -15 3 -15 3 -15 3 -15 3 -14 2 -15 3 -16 3 -14 4 0 0 -14 4 -14 5 -15 5 -14 5 -14 4 -14 6 -15 6 -13 6 -14 6 -12 7 -13 8 -13 7 -13 7 -12 8 -14 7 -13 9 -14 9 -12 9 -12 9 -11 10 -13 10 -13 9 -13 11 -13 11 -14 9 -13 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-59,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11372080,0,84,0,0,11.733266,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 -5 -18 -5 -19 -6 -19 -7 -18 -7 -18 -8 -17 -7 -18 -7 -17 -9 -17 -9 -17 -10 -17 -10 -16 -10 -16 -11 -15 -11 -16 -11 -16 -10 -15 -10 -15 -11 -14 -10 -14 -10 -14 -11 -13 -10 -14 -10 -15 -11 -14 -9 0 0 -15 -9 -15 -9 -15 -9 -15 -8 -14 -9 -15 -9 -15 -8 -15 -7 -16 -7 -15 -6 -16 -6 -16 -7 -16 -7 -17 -6 -16 -7 -17 -6 -18 -6 -17 -5 -17 -5 -17 -4 -18 -5 -18 -6 -19 -6 -19 -5 -18 -6 -18 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11372334,0,84,0,0,11.779143,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 -15 -7 -15 -7 -16 -6 -17 -5 -17 -4 -16 -4 -16 -4 -16 -3 -17 -3 -17 -2 -17 -3 -17 -2 -17 -2 -17 -1 -17 -2 -17 -1 -16 -1 -15 -1 -16 -1 -16 -1 -16 -1 -16 -1 -15 -1 -15 -1 -16 -2 -15 0 0 -2 -15 -2 -15 -3 -15 -3 -14 -2 -15 -3 -15 -3 -15 -4 -14 -4 -14 -5 -14 -5 -14 -5 -15 -5 -15 -6 -15 -5 -15 -6 -15 -6 -16 -7 -14 -7 -14 -7 -14 -7 -15 -7 -16 -7 -15 -8 -15 -7 -16 -7 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11372714,0,84,0,0,11.823920,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -2 16 -1 17 -1 17 0 17 0 16 1 16 1 16 2 16 3 16 3 16 3 16 4 16 3 15 4 15 4 16 4 15 4 14 4 14 4 14 4 14 4 14 4 13 4 14 4 14 4 14 3 0 0 14 3 14 3 13 2 14 1 13 2 14 1 14 2 13 1 14 1 14 0 14 0 14 0 15 0 15 -1 15 -1 15 -2 16 -1 15 -2 15 -2 15 -3 16 -2 15 -2 16 -3 16 -3 16 -2 16 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11414171,0,84,0,0,11.861123,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 10 12 9 12 11 11 11 12 11 10 11 11 11 10 11 10 12 9 13 9 13 9 13 8 13 8 13 7 13 9 13 8 12 8 12 7 12 8 12 8 13 8 12 7 12 7 12 7 13 7 11 0 0 8 11 8 11 8 11 9 10 8 10 9 10 9 11 9 9 10 9 10 8 10 9 9 10 10 10 11 9 11 9 11 8 12 10 12 7 12 8 12 7 13 8 13 9 13 9 13 8 13 9 12 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,24:0A:C4:58:45:A8,-58,11,1,4,1,1,1,0,0,0,0,-93,0,8,1,11414398,0,84,0,0,11.897639,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -10 13 -9 13 -9 14 -9 14 -9 14 -8 14 -8 14 -7 14 -7 14 -7 15 -6 15 -6 15 -6 15 -6 14 -5 16 -5 14 -5 13 -5 14 -5 13 -5 14 -5 14 -5 14 -5 13 -5 14 -5 13 -5 0 0 13 -6 13 -7 13 -7 13 -7 12 -6 12 -7 12 -8 11 -8 12 -8 11 -9 11 -8 12 -8 12 -9 11 -10 12 -9 11 -10 12 -10 10 -10 11 -11 10 -12 11 -11 11 -11 11 -12 11 -12 12 -12 11 -12 0 0 0 0 0 0 0 0 0 0 ]
